,Company,MarketValue,Revenue,Profits,Assets,Rank,Sector,Industry,Continent,Country,Headquarters,State,CEO,ForbesWebpage,ProfitsPerAsset,ProfitPerRevenue,CountryCode,Latitude,Longitude
99,SAIC Motor,51.474,135.217,5.442,114.012,100,Consumer Discretionary,Auto & Truck Manufacturers,Asia,China,China,,Baiping Bian,http://www.forbes.com/companies/saic-motor/,0.0477318177033996,0.0402464187195397,CN,40.0495,116.286
100,Westpac Banking Group,66.036,29.08,6.148,636.908,101,Financials,Major Banks,Australia,Australia,Australia,,Brian Hartzer,http://www.forbes.com/companies/westpac-banking/,0.009652885503086791,0.21141678129298497,AU,-35.282,149.129
101,British American Tobacco,90.92399999999999,32.658,8.043,186.38099999999997,102,Consumer Staples,Tobacco,Europe,United Kingdom,United Kingdom,,Nicandro Durante,http://www.forbes.com/companies/british-american-tobacco/,0.0431535403286816,0.24627962520668698,GB,51.5002,-0.126236
102,US Bancorp,81.885,25.703000000000003,7.098,475.775,103,Financials,Major Banks,North America,United States,Minnesota,Minnesota,Andrew Cecere,http://www.forbes.com/companies/us-bancorp/,0.0149188166675424,0.27615453449013694,US,38.8895,-77.032
103,Credit Agricole,38.353,52.245,4.668,1856.9260000000002,104,Financials,Regional Banks,Europe,France,France,,Dominique Lefebvre,http://www.forbes.com/companies/credit-agricole/,0.0025138319997673603,0.0893482629916739,FR,48.8566,2.35097
104,China Life Insurance,114.154,98.335,1.8619999999999999,474.776,105,Financials,Life & Health Insurance,Asia,China,China,,Heng Su,http://www.forbes.com/companies/china-life-insurance/,0.00392184946164086,0.0189352722835206,CN,40.0495,116.286
105,Unilever,153.638,60.146,11.077,67.967,106,Consumer Staples,Household/Personal Care,Europe,Netherlands,Netherlands,,Alan Jope,http://www.forbes.com/companies/unilever/,0.162976150190534,0.184168523260067,NL,52.3738,4.89095
106,Glencore International,60.455,219.782,3.343,128.672,107,Materials,Diversified Metals & Mining,Europe,Switzerland,Switzerland,,Ivan Glasenberg,http://www.forbes.com/companies/glencore-international/,0.0259807883611042,0.015210526794733,CH,46.948,7.44821
107,Mitsubishi,42.463,127.412,5.308,153.189,108,Industrials,Trading Companies,Asia,Japan,Japan,,Takehiko Kakiuchi,http://www.forbes.com/companies/mitsubishi/,0.0346500075070664,0.0416601262047531,JP,35.67,139.77
108,BHP Group,138.278,42.556000000000004,6.03,102.414,109,Materials,Diversified Metals & Mining,Australia,Australia,Australia,,Andrew Mackenzie,http://www.forbes.com/companies/bhp-group/,0.05887866893198201,0.14169564808722598,AU,-35.282,149.129
109,Ford Motor,38.101,160.338,3.677,256.54,110,Consumer Discretionary,Auto & Truck Manufacturers,North America,United States,Michigan,Michigan,Jim Hackett,http://www.forbes.com/companies/ford-motor/,0.0143330474779761,0.0229328044505981,US,38.8895,-77.032
110,Rio Tinto,99.964,40.533,13.782,90.949,111,Materials,Diversified Metals & Mining,Europe,United Kingdom,United Kingdom,,Jean-Sébastien Jacques,http://www.forbes.com/companies/rio-tinto/,0.151535475926068,0.340019243579306,GB,51.5002,-0.126236
111,Prudential,60.2,33.285,4.013999999999999,633.617,112,Financials,Life & Health Insurance,Europe,United Kingdom,United Kingdom,,Mike Wells,http://www.forbes.com/companies/prudential/,0.0063350572980207295,0.120594862550699,GB,51.5002,-0.126236
112,AIA Group,122.238,39.479,3.1630000000000003,226.919,113,Financials,Life & Health Insurance,Asia,Hong Kong,Hong Kong,,John Cai,http://www.forbes.com/companies/aia-group/,0.0139388944953926,0.0801185440360698,HK,22.3964,114.109
113,China Minsheng Banking,33.875,46.698,7.676,873.155,114,Financials,Regional Banks,Asia,China,China,,Qi Hong,http://www.forbes.com/companies/china-minsheng-banking/,0.008791108107953341,0.164375347980642,CN,40.0495,116.286
114,Sanofi,102.042,40.658,5.095,127.35600000000001,114,Health Care,Pharmaceuticals,Europe,France,France,,Olivier MD,http://www.forbes.com/companies/sanofi/,0.0400059675241057,0.125313591421123,FR,48.8566,2.35097
115,Deutsche Telekom,79.38600000000001,89.255,2.557,176.488,116,Telecommunication Services,Telecommunications services,Europe,Germany,Germany,,Timotheus Höttges,http://www.forbes.com/companies/deutsche-telekom/,0.0144882371606002,0.0286482549997199,DE,52.5235,13.4115
116,Zurich Insurance Group,47.68600000000001,46.938,3.717,374.145,117,Financials,Diversified Insurance,Europe,Switzerland,Switzerland,,Mario Greco,http://www.forbes.com/companies/zurich-insurance-group/,0.00993465100428978,0.0791895692189697,CH,46.948,7.44821
117,Brookfield Asset Management,45.982,57.574,3.5980000000000003,256.281,118,Financials,Real Estate,North America,Canada,Canada,,Bruce Flatt,http://www.forbes.com/companies/brookfield-asset-management/,0.0140392771996363,0.0624934866432765,CA,45.4215,-75.6919
118,Merck & Co.,189.055,42.263999999999996,6.22,82.637,119,Health Care,Pharmaceuticals,North America,United States,Missouri,Missouri,Kenneth Frazier,http://www.forbes.com/companies/merck-co/,0.075268947323838,0.14717016846488698,US,38.8895,-77.032
119,ANZ,53.963,27.544,4.863,682.0360000000001,120,Financials,Major Banks,Australia,Australia,Australia,,Shayne Elliott,http://www.forbes.com/companies/anz/,0.00713012216363946,0.176553877432472,AU,-35.282,149.129
120,Caterpillar,82.51,54.722,6.147,78.509,121,Industrials,Heavy Equipment,North America,United States,Illinois,Illinois,Jim Umpleby,http://www.forbes.com/companies/caterpillar/,0.0782967557859608,0.112331420635211,US,38.8895,-77.032
121,Saudi Basic Industries,99.999,45.056000000000004,5.744,85.337,122,Materials,Diversified Chemicals,Asia,Saudi Arabia,Saudi Arabia,,Yousef Al-Benyan,http://www.forbes.com/companies/saudi-basic-industries/,0.0673096077902903,0.127485795454545,SA,24.6748,46.6977
122,Hon Hai Precision,41.172,175.55599999999998,4.28,110.009,123,Information Technology,Electronics,Asia,Taiwan,Taiwan,,Terry Gou,http://www.forbes.com/companies/hon-hai-precision/,0.038905907698461,0.0243796851147212,TW,23.6978,120.9605
123,China Vanke,46.533,41.058,5.005,222.64,124,Financials,Real Estate,Asia,China,China,,Jiu Zhu,http://www.forbes.com/companies/china-vanke/,0.0224802371541502,0.12190072580252301,CN,40.0495,116.286
124,Mizuho Financial,39.799,33.069,4.625,1837.8010000000002,125,Financials,Major Banks,Asia,Japan,Japan,,Koji Fujiwara,http://www.forbes.com/companies/mizuho-financial/,0.0025165945605645,0.139859082524419,JP,35.67,139.77
125,CNOOC,83.88600000000001,33.878,7.966,98.865,126,Energy,Oil & Gas Operations,Asia,Hong Kong,Hong Kong,,Guang Yuan,http://www.forbes.com/companies/cnooc/,0.0805745208112072,0.23513784757069503,HK,22.3964,114.109
126,Home Depot,226.79,108.20299999999999,11.120999999999999,44.003,126,Consumer Discretionary,Home Improvement Retail,North America,United States,Georgia,Georgia,Craig Menear,http://www.forbes.com/companies/home-depot/,0.252732768220349,0.102779035701413,US,38.8895,-77.032
127,Taiwan Semiconductor,222.396,34.203,11.644,68.0,126,Information Technology,Semiconductors,Asia,Taiwan,Taiwan,,Che Wei,http://www.forbes.com/companies/taiwan-semiconductor/,0.171235294117647,0.340437973277198,TW,23.6978,120.9605
